Altair ,16.73,297.6958333,8.866666667,2.22
Delta Pavonis,19.893,302.1791667,-66.16666667,4.62
82 G. Eridani ,19.7045,49.97916667,-43.06666667,5.35
Tau Ceti ,11.9118,26.01666667,-15.93333333,5.68
Alsafi ,18.7993,293.0875,69.65,5.87
Ran ,10.4749,53.22916667,-9.45,6.19
36 Ophiuchi ,19.4185,259.0541667,-26.53333333,7.45
70 Ophiuchi ,16.7074,271.3625,2.483333333,7.46
Groombridge 1618 ,15.8857,152.8416667,49.45,8.16
61 Cygni,11.4039,316.7291667,38.73333333,8.31
Eta Cassiopeiae ,19.3314,12.275,57.8,8.65
Lacaille 8760 ,12.9472,319.3125,-38.86666667,8.69
Gliese 205 ,18.6042,82.8625,-3.666666667,9.17
Lacaille 9352 ,10.7241,346.4666667,-35.85,9.75
Gliese 526 ,17.7263,206.4291667,14.88333333,9.78
Gliese 908 ,19.2745,357.3,2.4,10.12
Gliese 832,16.2005,323.3916667,-49,10.2
Gliese 1 ,14.1747,1.35,-37.35,10.35
Lalande 21185 ,8.3044,165.8333333,35.96666667,10.44
Gliese 588 ,19.2996,233.05,-41.26666667,10.45
Kapteyn's Star ,12.8308,77.91666667,-45.01666667,10.87
AD Leonis,16.1939,154.9,19.86666667,10.87
Gliese 687 ,14.8395,264.1041667,68.33333333,10.89
Gliese 674 ,14.8492,262.1625,-46.88333333,11.09
Gliese 570,19.1987,224.3666667,-21.4,11.11
Gliese 251 ,18.2146,103.7041667,33.26666667,11.29
Alpha Canis Majoris,8.7094,101.2833333,-16.7,11.34
EV Lacertae,16.4761,341.7041667,44.33333333,11.7
Gliese 876 ,15.2382,343.3166667,-14.25,11.81
Gliese 693 ,19.2078,266.6333333,-57.31666667,11.91
Wolf 1061 ,14.05,247.575,-12.65,11.93
Struve 2398,11.4908,280.6916667,59.61666667,11.95
Luyten's Star ,12.3485,111.85,5.216666667,11.97
Gliese 445 ,17.1368,176.9208333,78.68333333,12.19
YZ Canis Minoris ,19.533,116.1666667,3.55,12.3
Gliese 682 ,16.3328,264.2625,#VALUE!,12.45
HR 7703 ,19.609,302.7958333,#VALUE!,12.6
GJ 3379 ,16.9861,90.0125,2.7,12.73
Omicron2 Eridani,16.333,63.8375,-7.65,12.74
LP 816-60,18.3305,313.1375,-16.96666667,12.75
Ross 47 ,18.8883,85.5375,12.48333333,12.76
Alpha Canis Minoris,11.402,114.825,5.216666667,12.98
Ross 154 ,9.7063,282.4541667,-23.83333333,13.07
LP 145-141 ,15.1226,176.425,-64.83333333,13.18
Barnard's Star ,5.9629,269.45,4.683333333,13.22
Groombridge 34,11.6191,4.591666667,44.01666667,13.3
Gliese 754 ,19.2724,290.2,-45.55,13.37
Kruger 60,13.0724,336.9958333,57.68333333,13.38
Ross 128 ,11.0074,176.9333333,0.8,13.51
Gliese 268 ,19.7414,107.5041667,#VALUE!,13.54
LHS 1723 ,17.5309,75.4875,-6.933333333,13.57
Stein 2051 ,17.9925,67.8,58.96666667,13.72
L 1159-16 ,14.578,30.05416667,13.05,14.03
YZ Ceti ,12.1222,18.125,-16.98333333,14.17
Van Maanen's star ,14.0718,12.2875,5.383333333,14.21
Ross 248 ,10.3057,355.475,44.16666667,14.79
Wolf 424,14.595,188.3208333,9.016666667,14.97
GJ 1005 ,19.577,3.866666667,-16.13333333,15.13
Gliese 1061 ,11.9839,53.99583333,-44.5,15.26
GJ 1002,15.806,1.679166667,-7.533333333,15.4
LHS 288 ,15.7586,161.0875,-61.2,15.51
Alpha Centauri,4.2465,217.4291667,-62.66666667,15.53
Luyten 726-8 ,8.724,24.75416667,-17.95,15.85
Gliese 412,15.9969,166.375,43.51666667,16.05
Ross 614,13.363,97.34583333,-2.8,16.17
EZ Aquarii,11.109,339.6375,-15.28333333,16.34
EI Cancri ,16.8,134.5625,19.75,16.36
Wolf 359 ,7.8558,164.1208333,7,16.55
DX Cancri ,11.6797,127.4541667,26.76666667,16.98
Teegarden's Star ,12.497,43.25,16.86666667,17.22
LHS 292 ,14.8706,162.05,-11.33333333,17.32
Gliese 1245,15.2001,298.475,44.4,18.46
Gliese 752 ,19.2922,289.2375,5.15,18.59
DEN 1048-3956,13.1932,162.0583333,-39.93333333,19.37
SCR 1845-6357,13.0638,281.2708333,-63.95,19.41
