what was her change in velocity?,?v
how long did it take for her to get there?,?t
"what was her ""a"" during this time?",a
what was the rate she sped up?,a
what was her speed when she finished?,vf
how far did she run when she was at a constant velocity?,?d
how far away is the store?,?d
by how much did she speed up?,?v
What was the velocity right before the end?,vf
What was her velocity when she hit the ground?,vf
what was her velocity later?,vf
how far did she fall?,?d
how fast was she moving right before she fell?,vs
how fast was she moving when she started?,vs
how fast was she going just as she hit the platform?,vf
how long did it take her to fall?,?t
What is the acceleration of the box?,a
where did she stop?,df
where did she start?,ds
where did she begin?,ds
where was she when she arrived?,df
where did she finish?,df
when did she stop?,tf
at what time did she arrive?,tf
at what time did she get there?,tf
when did she start walking at that velocity?,ts
when did she start?,ts
